kepid,kepoi_name,koi_disposition,koi_score,koi_period,koi_duration,koi_depth,koi_time0bk,koi_prad,koi_ror,koi_dor,koi_impact,koi_incl,koi_srad,koi_smass,koi_steff,koi_slogg,koi_smet,koi_kepmag,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_vet_stat,koi_vet_date,koi_disp_prov,koi_period_err1,koi_period_err2,koi_duration_err1,koi_duration_err2,koi_depth_err1,koi_depth_err2,koi_prad_err1,koi_prad_err2,koi_steff_err1,koi_steff_err2
8231667,K03494.01,CONFIRMED,1.0,42.8774169,1.991,1068.8,156.06967,2.67,0.029346,169.3,0.02,89.99,0.832,0.768,5256.0,4.483,-0.16,15.654,0,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.0002596,-0.0002596,0.12,-0.12,83.7,-83.7,0.41,-0.34,184.0,-184.0
6697817,K03508.01,CANDIDATE,0.975,190.800788,8.082,287.6,236.0389,1.67,0.015465,182.75,0.066,89.98,0.986,1.093,5993.0,4.489,0.07,14.322,0,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.002576,-0.002576,0.352,-0.352,25.6,-25.6,0.27,-0.07,72.0,-84.0
3439096,K03509.01,FALSE POSITIVE,0.0,2.97601892,5.5,306.1,132.96926,164.46,0.19443,1.468,1.176,36.8,7.746,1.975,5140.0,2.955,-0.32,13.799,0,0,1,1,Done,2018-08-16,q1_q17_dr25_sup_koi,1.594e-05,-1.594e-05,0.214,-0.214,10.3,-10.3,4.91,-44.16,75.0,-175.0
3324644,K03781.01,FALSE POSITIVE,0.0,2.882424694,25.91,67298.0,131.63584,399.44,0.453949,1.5126,1.051,45.99,8.058,1.101,4705.0,2.667,-0.12,12.812,1,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,4.53e-06,-4.53e-06,0.218,-0.218,225.0,-225.0,184.9,-151.2,128.0,-105.0
5437945,K03791.02,CONFIRMED,0.902,220.142913,19.528,1796.4,245.94139,5.94,0.039068,89.46,0.023,89.99,1.393,1.031,6340.0,4.163,-0.38,13.771,0,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.001289,-0.001289,0.173,-0.173,15.7,-15.7,1.65,-1.64,171.0,-209.0
1161949,K04920.01,FALSE POSITIVE,0.13269999999999998,473.95103,11.778,330.6,366.0309,3.32,0.016809,308.0,0.1671,89.95,1.81,1.252,6513.0,4.02,-0.14,13.978,1,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.01737,-0.01737,0.719,-0.719,36.1,-36.1,1.53,-1.08,185.0,-260.0
4077252,K05038.01,FALSE POSITIVE,0.0,0.534109403,0.9513,78.3,131.80501,2.28,0.008587,3.88,0.476,82.95,2.432,2.718,10747.0,4.1,0.07,12.314,0,1,1,0,Done,2018-08-16,q1_q17_dr25_sup_koi,6.53e-07,-6.53e-07,0.0379,-0.0379,2.8,-2.8,0.82,-0.67,331.0,-478.0
4077767,K05039.01,FALSE POSITIVE,0.12219999999999998,168.77118,2.263,2045.0,233.3138,2825.04,35.981037,928.0,36.9452,87.66,0.719,0.746,4936.0,4.597,-0.14,15.941,1,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.01087,-0.01087,0.885,-0.885,403.0,-403.0,400.8,-231.8,188.0,-157.0
4135912,K05040.01,CANDIDATE,0.974,29.6094263,2.71,224.9,141.2485,2.87,0.014742,59.8,0.719,89.31,1.783,1.329,6079.0,4.059,0.18,14.385,0,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.0003066,-0.0003066,0.253,-0.253,24.1,-24.1,0.53,-0.65,79.0,-85.0
4144238,K05041.01,FALSE POSITIVE,0.0,22.9138322,4.855,340.3,140.6387,30.24,0.20761,7.62,1.189,81.02,1.334,1.032,6154.0,4.201,-0.22,13.757,0,0,1,1,Done,2018-08-16,q1_q17_dr25_sup_koi,0.0004136,-0.0004136,0.901,-0.901,55.5,-55.5,4.88,-5.96,82.0,-82.0
4147171,K05042.01,FALSE POSITIVE,0.0514,538.36855,19.26,545.5,232.5637,2.37,0.021412,217.7,0.0671,89.95,1.015,1.083,6148.0,4.461,-0.08,15.674,1,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.02697,-0.02697,1.8,-1.8,79.8,-79.8,0.99,-0.22,159.0,-212.0
4149060,K05043.01,FALSE POSITIVE,0.5146999999999999,65.5327181,2.256,373.4,151.4591,1.79,0.017749,215.7,0.3023,89.95,0.923,0.939,5755.0,4.48,-0.1,15.319,1,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.0007622,-0.0007622,0.302,-0.302,64.5,-64.5,0.73,-0.18,162.0,-158.0
4150972,K05044.01,CANDIDATE,0.17370000000000002,161.537665,2.65,101.8,280.9898,1.37,0.009261,459.0,0.2175,89.95,1.358,1.111,6033.0,4.218,0.07,12.426,0,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.005426,-0.005426,0.434,-0.434,19.0,-19.0,0.78,-0.3,176.0,-219.0
4160006,K05045.01,FALSE POSITIVE,0.0,1.018360336,7.622,393970.0,131.67768,107.0,0.669772,1.9765,0.553,73.76,1.463,1.087,6160.0,4.144,-0.12,14.299,0,1,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,1.493e-06,-1.493e-06,0.0215,-0.0215,540.0,-540.0,30.65,-30.64,216.0,-237.0
5436455,K05164.01,CANDIDATE,0.2162,209.967521,2.585,120.0,241.95921,1.16,0.010162,604.0,0.2723,89.95,1.042,1.085,6437.0,4.439,-0.32,12.489,0,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.003005,-0.003005,0.342,-0.342,20.2,-20.2,0.55,-0.11,148.0,-198.0
5439000,K05165.01,CANDIDATE,0.2612,369.73011,14.27,274.8,246.29,1.66,0.015262,199.5,0.1236,89.95,0.999,1.025,6283.0,4.453,-0.3,13.976,0,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.02032,-0.02032,3.9,-3.9,81.3,-81.3,0.74,-0.15,161.0,-195.0
5440435,K05166.01,FALSE POSITIVE,0.19749999999999998,78.04064906,2.15,44992.590000000004,137.0269121,39.910000000000004,0.2718419,11.2137,0.9557,85.10499999999999,1.1236,0.8705,5586.9,4.2812,-0.08600000000000001,12.878,1,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.0021544999999999997,-0.002152,0.34009999999999996,-0.34009999999999996,123.4,-122.9,11.594999999999999,-7.9590000000000005,178.9,-173.2
5440472,K05167.01,FALSE POSITIVE,0.16970000000000002,396.349253,2.685,413.1,272.6416,2.39,0.018773,1148.0,0.0384,89.95,1.168,1.19,6495.0,4.379,-0.1,14.795,1,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.007321,-0.007321,0.604,-0.604,99.6,-99.6,1.3,-0.27,188.0,-233.0
